,A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
0,G3_circuit.mat,1585478,7660826,22.06,12.685,3.769823139291725e-12,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
1,G3_circuit.mat,1585478,7660826,372.148,233.85,5.822449519851718e-11,D108,WINDOWS,3.9.2,scipy,1.10.1
2,G3_circuit.mat,1585478,7660826,20.242,291.65,3.3425320311665254e-11,T470,LINUX,3.10.10,scipy,1.9.3
3,G3_circuit.mat,1585478,7660826,34.925,295.89,3.679212110519356e-11,B108,LINUX,3.10.7,scipy,1.8.1
4,G3_circuit.mat,1585478,7660826,8.532,3070.811,4.8841329893007094e-12,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
5,G3_circuit.mat,1585478,7660826,11.051,3070.811,4.886919589035305e-12,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
6,apache2.mat,715176,4817870,17.282,5.722,3.531703055709676e-11,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
7,apache2.mat,715176,4817870,346.599,158.15,2.2407633039974432e-10,D108,WINDOWS,3.9.2,scipy,1.10.1
8,apache2.mat,715176,4817870,75.511,178.43,2.7256193495339424e-10,B108,LINUX,3.10.7,scipy,1.8.1
9,apache2.mat,715176,4817870,16.553,257.37,1.697327808364409e-10,T470,LINUX,3.10.10,scipy,1.9.3
10,apache2.mat,715176,4817870,6.715,2392.453,5.6033637865951135e-11,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
11,apache2.mat,715176,4817870,8.477,2392.453,5.602994957900108e-11,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
12,cfd1.mat,70656,1825580,2.054,25.739,1.3300123026141232e-14,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
13,cfd1.mat,70656,1825580,49.923,92.37,2.4766986277701315e-11,D108,WINDOWS,3.9.2,scipy,1.10.1
14,cfd1.mat,70656,1825580,5.331,134.77,1.9828191838535505e-11,B108,LINUX,3.10.7,scipy,1.8.1
15,cfd1.mat,70656,1825580,1.694,197.82,1.1262698240062508e-11,T470,LINUX,3.10.10,scipy,1.9.3
16,cfd1.mat,70656,1825580,1.777,571.857,7.28897559665472e-14,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
17,cfd1.mat,70656,1825580,1.565,571.87,6.03895824548607e-14,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
18,cfd1.mat,70656,1825580,77.84,984.828,4.5243033914395386e-11,D108,WINDOWS,15.0.2+7-27,org.ejml,0.43
19,cfd1.mat,70656,1825580,93.524,985.585,4.5243033914395386e-11,B108,LINUX,19.0.2+7-Ubuntu-0ubuntu322.10,org.ejml,0.43
20,cfd1.mat,70656,1825580,5.78,1291.008,2.79797361811234e-13,B108,LINUX,9.12.0.1884302 (R2022a),MATLAB,9.12.0.1884302 (R2022a)
21,cfd1.mat,70656,1825580,4.274,1395.114,3.17203065378165e-13,D108,WINDOWS,9.11.0.2022996 (R2021b) Update 4,MATLAB,9.11.0.2022996 (R2021b) Update 4
22,cfd2.mat,123440,3085406,3.472,0.988,2.580784231013278e-13,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
23,cfd2.mat,123440,3085406,155.79,109.61,3.416464168236045e-11,D108,WINDOWS,3.9.2,scipy,1.10.1
24,cfd2.mat,123440,3085406,13.502,171.46,2.5914976113184177e-11,B108,LINUX,3.10.7,scipy,1.8.1
25,cfd2.mat,123440,3085406,3.2,190.31,1.6599544255328345e-11,T470,LINUX,3.10.10,scipy,1.9.3
26,cfd2.mat,123440,3085406,3.579,1027.264,2.645888420931572e-13,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
27,cfd2.mat,123440,3085406,2.519,1027.264,2.758056052933176e-13,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
28,cfd2.mat,123440,3085406,153.334,1924.907,2.1932051396925667e-11,B108,LINUX,19.0.2+7-Ubuntu-0ubuntu322.10,org.ejml,0.43
29,cfd2.mat,123440,3085406,126.309,1924.909,2.1932051396925667e-11,D108,WINDOWS,15.0.2+7-27,org.ejml,0.43
30,cfd2.mat,123440,3085406,8.114,2512.904,7.94099499947573e-13,D108,WINDOWS,9.11.0.2022996 (R2021b) Update 4,MATLAB,9.11.0.2022996 (R2021b) Update 4
31,cfd2.mat,123440,3085406,9.955,18446744071912.8,7.015251863349629e-13,B108,LINUX,9.12.0.1884302 (R2022a),MATLAB,9.12.0.1884302 (R2022a)
32,ex15.mat,6867,98671,0.035,0.056,6.063698540258348e-07,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
33,ex15.mat,6867,98671,0.054,4.149,8.57356726779029e-07,D108,WINDOWS,9.11.0.2022996 (R2021b) Update 4,MATLAB,9.11.0.2022996 (R2021b) Update 4
34,ex15.mat,6867,98671,0.071,4.187,8.57356726779029e-07,B108,LINUX,9.12.0.1884302 (R2022a),MATLAB,9.12.0.1884302 (R2022a)
35,ex15.mat,6867,98671,0.008,4.924,8.007992879830333e-07,D108,WINDOWS,15.0.2+7-27,org.ejml,0.43
36,ex15.mat,6867,98671,0.014,5.078,8.007992879830333e-07,B108,LINUX,19.0.2+7-Ubuntu-0ubuntu322.10,org.ejml,0.43
37,ex15.mat,6867,98671,0.013,11.483,5.771188141788463e-07,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
38,ex15.mat,6867,98671,0.018,11.483,5.788780170680119e-07,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
39,ex15.mat,6867,98671,0.024,69.34,3.971773333623414e-07,D108,WINDOWS,3.9.2,scipy,1.10.1
40,ex15.mat,6867,98671,0.095,125.59,3.8115417228570155e-07,B108,LINUX,3.10.7,scipy,1.8.1
41,ex15.mat,6867,98671,0.029,222.61,3.208275534794635e-07,T470,LINUX,3.10.10,scipy,1.9.3
42,ex15.mat,6867,98671,0.08,4187.04,8.57356726779029e-07,T470,LINUX,9.13.0.2080170 (R2022b) Update 1,MATLAB,9.13.0.2080170 (R2022b) Update 1
43,parabolic_fem.mat,525825,3674625,3.712,4.207,8.415532292722487e-13,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
44,parabolic_fem.mat,525825,3674625,21.672,136.34,2.3539013287920422e-11,D108,WINDOWS,3.9.2,scipy,1.10.1
45,parabolic_fem.mat,525825,3674625,8.471,247.45,2.5108422695048592e-11,B108,LINUX,3.10.7,scipy,1.8.1
46,parabolic_fem.mat,525825,3674625,2.302,327.1,1.9477500575738465e-11,T470,LINUX,3.10.10,scipy,1.9.3
47,parabolic_fem.mat,525825,3674625,1.795,771.373,7.127144939181782e-13,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
48,parabolic_fem.mat,525825,3674625,1.856,771.373,7.099476597783099e-13,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
49,shallow_water1.mat,81920,327680,0.325,0.656,2.0501173117069595e-16,T470,LINUX,1.8.5,LinearAlgebra,1.8.5
50,shallow_water1.mat,81920,327680,0.194,75.02,2.016458417314838e-16,B108,LINUX,1.8.5,LinearAlgebra,1.8.5
51,shallow_water1.mat,81920,327680,0.4,75.02,2.016320370039273e-16,D108,WINDOWS,1.8.5,LinearAlgebra,1.8.5
52,shallow_water1.mat,81920,327680,1.111,76.38,3.7554459567620013e-16,D108,WINDOWS,3.9.2,scipy,1.10.1
53,shallow_water1.mat,81920,327680,0.79,125.59,3.938836629171767e-16,B108,LINUX,3.10.7,scipy,1.8.1
54,shallow_water1.mat,81920,327680,0.284,222.61,3.3342901477355093e-16,T470,LINUX,3.10.10,scipy,1.9.3
55,shallow_water1.mat,81920,327680,17.851,291.156,3.559139388951707e-16,B108,LINUX,19.0.2+7-Ubuntu-0ubuntu322.10,org.ejml,0.43
56,shallow_water1.mat,81920,327680,16.746,291.452,3.559139388951707e-16,D108,WINDOWS,15.0.2+7-27,org.ejml,0.43
57,shallow_water1.mat,81920,327680,4.387,368.862,3.19850034354161e-16,B108,LINUX,9.12.0.1884302 (R2022a),MATLAB,9.12.0.1884302 (R2022a)
58,shallow_water1.mat,81920,327680,3.348,370.913,3.19850034354161e-16,D108,WINDOWS,9.11.0.2022996 (R2021b) Update 4,MATLAB,9.11.0.2022996 (R2021b) Update 4
59,shallow_water1.mat,81920,327680,4.569,367876.256,3.19850034354161e-16,T470,LINUX,9.13.0.2080170 (R2022b) Update 1,MATLAB,9.13.0.2080170 (R2022b) Update 1
